Country,Year,Region,Average_Monthly_Income,Cost_of_Living,Tax_Rate,Housing_Cost_Percentage,Savings_Percentage,Healthcare_Cost_Percentage,Education_Cost_Percentage,Transportation_Cost_Percentage,TakeHome,Housing_Share_TakeHome_Percent,Savings_Share_TakeHome_Percent,Net_Savings_Room_Percent,Other_Essentials_Percentage,Savings_to_Spending_Ratio,Savings_to_Spending_Ratio_Net
China,2002,Asia,4036.82,1479.92,5.63,43.42,10.44,7.69,11.18,13.17,3809.547034,46.01038465614072,11.06283776623927,-34.94754688990145,8.470000000000008,0.11656989727556945,0.12438937209579409
Mexico,2000,North America,3588.81,5645.74,38.7,33.79,11.15,15.41,10.09,8.51,2199.94053,55.12234910277325,18.189233278955953,-36.933115823817296,-17.65,0.12549240292628025,0.22233300099700892
Mexico,2000,North America,3116.51,4978.3,30.43,21.74,0.04,8.44,14.87,14.57,2168.156007,31.249101624263332,0.05749604714675867,-31.191605577116572,9.910000000000004,0.00040016006402561027,0.0005752912411908529
Japan,2018,Asia,7471.47,1857.08,15.67,49.85,8.99,6.76,6.05,17.3,6300.690651,59.11300841930511,10.660500415036168,-48.45250800426894,-4.6200000000000045,0.09878035380727393,0.11932572338731087
Mexico,2010,North America,6729.65,943.71,34.03,21.73,19.39,7.48,6.42,5.62,4439.550104999999,32.93921479460361,29.39214794603608,-3.5470668485675283,5.329999999999994,0.24054087582185835,0.4162730785744956
Australia,2004,Oceania,7737.7,4891.3,14.85,40.85,29.23,5.03,3.03,12.47,6588.6515500000005,47.974163241338815,34.327657075748675,-13.64650616559014,-5.459999999999997,0.4130281192595733,0.5227110157367667
India,2011,Asia,1432.23,4719.77,35.55,49.51,25.41,15.78,7.76,15.34,923.0722350000001,76.81923972071372,39.42591155934833,-37.393328161365396,-49.349999999999994,0.3406622871698619,0.6508709016393442
France,2002,Europe,5981.51,2203.51,8.94,27.18,0.71,15.99,5.39,8.78,5446.763006,29.84845157039315,0.7797056885569953,-29.068745881836154,33.01,0.007150770470339409,0.007858328721638073
Japan,2000,Asia,7537.55,6675.7,29.63,24.27,26.96,12.72,6.46,9.62,5304.173935,34.489128890152045,38.31178058831888,3.822651698166837,-9.659999999999993,0.3691128148959475,0.6210550564386085
Brazil,2000,South America,1859.25,1396.98,23.92,23.64,23.5,7.42,12.85,14.2,1414.5174,31.07255520504732,30.888538380651948,-0.18401682439537126,-5.530000000000003,0.30718954248366015,0.44693799923925454
Japan,2007,Asia,998.72,3253.41,8.38,29.1,23.41,6.25,14.16,18.47,915.0272640000001,31.761624099541585,25.551189696572802,-6.210434402968783,0.23000000000000043,0.30565347956652306,0.3432048086790793
Australia,2009,Oceania,6058.4,6627.87,13.47,23.03,13.74,5.29,4.41,17.15,5242.333519999999,26.615046804576448,15.878885935513695,-10.736160869062752,22.910000000000004,0.15928587989798285,0.18876219260887486
Brazil,2010,South America,4808.55,3170.2,5.43,40.76,11.94,7.49,6.84,13.75,4547.445735,43.10034894786931,12.62556836205985,-30.474780585809455,13.789999999999996,0.13558937088348852,0.14449957642502723
France,2011,Europe,6813.72,4614.27,21.41,21.87,9.09,18.36,14.07,15.95,5354.902548000001,27.82796793485176,11.566357042880773,-16.26161089197099,-0.7500000000000036,0.09998900010999891,0.1307913669064748
Australia,2012,Oceania,1548.29,3024.12,15.54,35.28,1.97,8.62,2.8,10.47,1307.685734,41.77125266398295,2.3324650722235374,-39.438787591759414,25.320000000000014,0.020095889013567275,0.023881682628197353
Germany,2011,Europe,6464.5,2209.82,25.94,49.9,6.85,10.31,3.2,14.61,4787.6087,67.37780178233864,9.24925735889819,-58.128544423440445,-10.809999999999999,0.07353730542136339,0.10191935723850616
India,2013,Asia,2012.2,6894.25,15.4,44.42,7.4,6.58,4.12,11.99,1702.3212,52.505910165484636,8.747044917257686,-43.758865248226954,10.089999999999995,0.0799136069114471,0.09585492227979278
France,2001,Europe,1727.42,3101.6,15.5,38.46,14.52,8.34,9.74,7.85,1459.6699,45.514792899408285,17.183431952662723,-28.331360946745562,5.59,0.16986429574169395,0.20748785367247785
Mexico,2018,North America,1731.99,6301.05,31.01,29.19,22.42,12.79,3.96,15.53,1194.899901,42.31047977967822,32.49746340049283,-9.813016379185385,-14.900000000000002,0.2889920082495489,0.4814258106076875
Germany,2017,Europe,6609.31,1917.7,6.68,38.72,14.21,14.12,14.58,13.35,6167.808092,41.49164166309473,15.227175310758682,-26.26446635233605,-1.6600000000000037,0.1656370206317753,0.1796233093161421
China,2002,Asia,5488.98,1806.49,36.6,35.81,1.74,8.68,7.81,10.38,3480.0133199999996,56.48264984227129,2.744479495268139,-53.738170347003155,-1.0200000000000014,0.01770812131080806,0.02821926694777814
France,2022,Europe,4422.99,605.48,34.83,32.78,28.73,5.87,8.52,18.67,2882.4625829999995,50.29921743133343,44.08470154979285,-6.214515881540585,-29.400000000000002,0.4031149151115477,0.7884193194291986
China,2016,Asia,3191.23,4701.0,28.37,23.92,28.28,10.87,5.21,5.31,2285.878049,33.39382940108893,39.48066452603658,6.086835124947648,-1.9600000000000062,0.3943112102621305,0.6523644752018455
Brazil,2007,South America,7079.0,2832.27,25.76,46.6,23.56,8.51,8.12,9.74,5255.4496,62.76939655172414,31.73491379310345,-31.034482758620694,-22.290000000000006,0.3082155939298796,0.4648776637726914
Germany,2009,Europe,3443.34,6104.76,36.23,33.49,29.74,8.29,10.6,5.85,2195.817918,52.516857456484246,46.63634938058648,-5.880508075897765,-24.199999999999996,0.4232849416453173,0.8739347634440198
India,2001,Asia,6624.5,3523.19,11.49,25.84,16.33,19.4,11.77,16.5,5863.34495,29.19444130606711,18.449892667495195,-10.744548638571914,-1.3299999999999947,0.19517150711127043,0.22623995566638955
Mexico,2018,North America,3793.51,6790.08,7.76,31.03,28.88,14.24,11.8,15.53,3499.133624,33.64050303555942,31.309627059843887,-2.330875975715532,-9.240000000000004,0.40607424071991,0.4558080808080808
Mexico,2008,North America,3327.08,1624.47,13.38,32.42,2.27,13.35,9.51,9.97,2881.916696,37.42784576310321,2.620641884091434,-34.80720387901177,19.1,0.023227258774173743,0.02691167753408417
Australia,2006,Oceania,3970.1,6132.91,32.81,44.83,10.97,11.24,13.76,15.13,2667.5101899999995,66.72123827950588,16.326834350349756,-50.39440392915613,-28.740000000000002,0.12321689318207346,0.19512628957666314
Mexico,2003,North America,2760.33,5525.54,6.21,42.01,6.76,11.43,12.63,10.94,2588.9135069999998,44.791555602942736,7.207591427657532,-37.5839641752852,10.020000000000008,0.0725010725010725,0.07767436516143858
South Africa,2020,Africa,6107.07,5488.08,25.4,43.08,5.87,13.11,11.84,16.34,4555.87422,57.747989276139414,7.8686327077748,-49.879356568364614,-15.640000000000004,0.06236056517582068,0.08540666375672924
Japan,2017,Asia,4270.4,5975.57,39.84,20.33,4.22,15.45,2.72,11.81,2569.0726399999994,33.79321808510638,7.014627659574469,-26.778590425531913,5.630000000000001,0.04405930256838588,0.07543796925277083
United States,2012,North America,2241.6,5422.76,34.95,32.48,18.67,15.53,2.09,11.18,1458.1607999999999,49.93082244427363,28.7009992313605,-21.229823212913132,-14.9,0.22955858846674046,0.40254420008624414
India,2010,Asia,7246.81,4533.05,23.25,34.44,23.44,7.58,4.76,19.02,5561.926675,44.8729641693811,30.54071661237785,-14.33224755700325,-12.489999999999998,0.30616509926854757,0.4396923654098668
Germany,2023,Europe,3379.18,1266.22,7.23,20.58,17.35,12.5,10.63,8.76,3134.8652859999997,22.18389565592325,18.70216664870109,-3.4817290072221603,22.949999999999996,0.20992135511191773,0.2300450808804031
South Africa,2003,Africa,4576.65,614.67,34.1,27.79,4.41,11.18,7.35,6.81,3016.01235,42.16995447647951,6.691957511380879,-35.47799696509863,8.360000000000003,0.04613453290093106,0.07171897869572287
India,2020,Asia,7298.54,6477.6,25.96,42.81,24.33,18.06,7.23,13.77,5403.839016,57.82009724473258,32.86061588330632,-24.959481361426256,-32.16000000000001,0.3215276860050218,0.4894387447193724
Germany,2003,Europe,5181.78,4469.89,9.02,24.11,19.08,14.47,13.5,19.54,4714.383443999999,26.500329742800616,20.971642119147063,-5.528687623653553,0.28000000000000824,0.2357884330202669,0.2653685674547983
Canada,2009,North America,1376.74,5657.15,8.29,36.06,11.64,12.99,13.64,10.67,1262.608254,39.319594373568854,12.692181877657834,-26.62741249591102,6.710000000000003,0.13173381620642827,0.14537279880104909
Canada,2004,North America,7548.74,3578.05,36.84,26.46,20.22,6.73,13.82,5.93,4767.784183999999,41.893603546548455,32.01393286890437,-9.879670677644086,-10.000000000000004,0.25344697919278014,0.47088961341406615
China,2008,Asia,5207.81,1174.23,28.42,20.36,7.8,14.08,6.08,10.09,3727.750398,28.44369935736239,10.896898575020955,-17.546800782341435,13.170000000000005,0.08459869848156182,0.12229539040451551
India,2023,Asia,3011.79,1226.23,34.03,27.24,10.36,6.76,10.98,12.59,1986.877863,41.29149613460664,15.704107927845989,-25.58738820676065,-1.9599999999999937,0.11557340473003123,0.18629742852005032
Canada,2002,North America,1544.54,4924.73,35.76,49.28,27.52,10.06,5.53,7.43,992.2124960000001,76.71232876712328,42.83935242839352,-33.872976338729764,-35.57999999999999,0.37969094922737306,0.7494553376906317
Germany,2016,Europe,6455.19,3240.02,25.01,44.05,8.72,7.14,4.48,14.87,4840.746980999999,58.74116548873183,11.62821709561275,-47.11294839311908,-4.270000000000001,0.09553023663453111,0.13158291836426741
China,2002,Asia,5150.55,1723.46,23.11,48.79,14.1,15.38,4.4,19.97,3960.257895,63.45428534269736,18.33788529067499,-45.11640005202237,-25.75,0.16414435389988358,0.22455805064500717
Mexico,2015,North America,4500.96,3644.52,20.06,34.64,26.7,8.09,6.45,11.78,3598.067424,43.332499374530904,33.400050037528146,-9.932449337002758,-7.7200000000000015,0.36425648021828105,0.5015026296018031
Germany,2003,Europe,7204.19,823.78,16.09,23.29,21.23,10.88,7.59,10.32,6045.0358289999995,27.7559289715171,25.300917649862946,-2.4550113216541547,10.599999999999998,0.2695188523549575,0.3387045309508615
China,2017,Asia,6414.48,4241.01,20.21,36.44,1.87,18.44,12.8,11.01,5118.113592,45.66988344404061,2.3436520867276602,-43.32623135731295,-0.7700000000000049,0.019056353816366046,0.02399897330595483
India,2016,Asia,1637.56,2175.36,32.09,33.63,4.42,8.06,3.56,6.73,1112.066996,49.52142541599176,6.508614342512149,-43.01281107347961,11.509999999999991,0.04624398409709144,0.06961726256103325
South Africa,2006,Africa,2837.92,5663.89,26.07,45.33,0.24,12.62,11.55,18.25,2098.0742560000003,61.31475720275936,0.3246314080887326,-60.990125794670625,-14.05999999999999,0.0024057738572574178,0.0032568869588818026
Australia,2023,Oceania,2363.67,2448.39,36.24,22.94,18.93,11.29,8.91,11.22,1507.0759919999998,35.978670012547056,29.689460476787954,-6.2892095357591025,-9.530000000000006,0.23350191192796352,0.4222618782065581
Mexico,2022,North America,6079.6,3404.45,20.52,34.65,13.43,5.27,5.74,10.81,4832.06608,43.59587317564167,16.897332662304983,-26.698540513336688,9.580000000000007,0.1551345731777752,0.20333080999243
France,2004,Europe,751.49,476.7,26.25,24.5,4.03,16.89,8.41,14.9,554.223875,33.220338983050844,5.464406779661017,-27.755932203389825,5.019999999999998,0.0419922892570595,0.057802639127940335
South Africa,2011,Africa,4774.17,878.15,27.1,29.74,28.74,6.04,5.9,11.63,3480.36993,40.79561042524005,39.4238683127572,-1.371742112482849,-9.149999999999988,0.4033118158854897,0.6508152173913042
Brazil,2016,South America,6218.44,2990.46,25.71,42.12,15.89,12.11,9.75,14.72,4619.679075999999,56.69672903486338,21.389150625925428,-35.30757840893796,-20.300000000000004,0.18891927238140532,0.2720890410958904
Germany,2022,Europe,7075.74,3567.6,29.59,34.28,7.26,13.41,7.64,5.92,4982.028533999999,48.68626615537566,10.311035364294845,-38.37523079108082,1.8999999999999977,0.07828337287039035,0.11496437054631832
Brazil,2012,South America,3065.61,4360.14,13.31,31.28,15.02,14.43,4.14,17.21,2657.5773090000002,36.08259314799862,17.326104510324143,-18.75648863767448,4.609999999999999,0.1767474699929395,0.20957164783033347
South Africa,2022,Africa,6659.43,2324.97,22.93,31.83,20.39,15.33,3.52,19.11,5132.4227009999995,41.30011677695602,26.456468145841445,-14.843648631114572,-13.110000000000005,0.25612360256249217,0.35973888496824274
China,2002,Asia,1329.74,4986.88,8.65,33.78,2.29,8.8,9.11,14.73,1214.71749,36.97865353037767,2.506841817186645,-34.47181171319102,22.63999999999999,0.023436700440077785,0.025713002470244783
France,2008,Europe,6848.39,6076.81,18.46,43.55,8.24,5.15,13.73,19.32,5584.177206,53.409369634535196,10.105469708118715,-43.30389992641648,-8.450000000000006,0.08979947689625109,0.11241473396998637
Mexico,2016,North America,1456.16,5547.02,22.07,46.76,24.21,15.85,6.47,7.27,1134.785488,60.00256640574874,31.066341588605155,-28.936224817143582,-22.629999999999992,0.3194352816994327,0.45067014147431117
Mexico,2016,North America,3479.65,661.48,27.83,48.66,13.79,13.03,11.53,12.16,2511.263405,67.42413745323542,19.107662463627545,-48.31647498960787,-26.999999999999993,0.15995824150330584,0.23621103117505993
Mexico,2019,North America,6479.72,3571.35,38.27,43.61,16.4,17.54,10.56,14.03,3999.931156,70.64636319455695,26.567309249959496,-44.07905394459746,-40.410000000000004,0.19617224880382775,0.36179130818442523
France,2015,Europe,1624.38,1092.54,26.02,29.46,12.98,17.32,14.11,13.73,1201.7163240000002,39.82157339821573,17.54528250878616,-22.276290889429575,-13.619999999999997,0.1491611123879568,0.2127868852459016
United States,2021,North America,2219.39,1997.5,31.03,40.64,1.32,17.65,12.67,11.02,1530.7132829999998,58.92416992895462,1.9138755980861246,-57.0102943308685,-14.33,0.013376570733684636,0.019512195121951223
France,2012,Europe,5916.89,6911.97,22.72,33.13,4.97,12.28,9.37,10.07,4572.572592,42.870082815734996,6.4311594202898545,-36.438923395445144,7.460000000000001,0.052299273913501,0.06873184898354308
Australia,2018,Oceania,5900.27,1340.47,27.19,27.64,13.37,10.0,10.54,6.9,4295.986587,37.96181843153413,18.362862244197224,-19.598956187336903,4.360000000000005,0.15433452614567703,0.22493270524899053
France,2016,Europe,5308.61,3692.66,7.48,45.23,6.28,16.87,13.68,10.88,4911.5259719999995,48.88672719412019,6.787721573713792,-42.0990056204064,-0.4200000000000035,0.0670081092616304,0.0728200371057514
South Africa,2003,Africa,5704.61,4479.83,13.9,21.15,1.5,11.77,7.19,7.44,4911.66921,24.56445993031359,1.742160278745645,-22.822299651567945,37.05,0.015228426395939087,0.01773049645390071
United States,2011,North America,4570.43,5036.27,17.66,47.05,25.31,7.75,6.25,16.02,3763.2920620000004,57.141122176341995,30.738401748846243,-26.40272042749575,-20.039999999999992,0.33886731824876154,0.443801507978257
Mexico,2008,North America,2388.49,4093.68,21.54,33.84,29.44,17.82,2.14,8.13,1874.0092539999998,43.130257456028545,37.522304358909,-5.607953097119548,-12.909999999999998,0.41723356009070295,0.6005711954304366
South Africa,2018,Africa,3092.72,464.49,6.6,39.12,23.79,18.24,12.75,5.88,2888.6004799999996,41.88436830835117,25.471092077087793,-16.413276231263378,-6.379999999999989,0.31216375803700297,0.34176124120097684
South Africa,2011,Africa,1861.98,2554.64,9.9,39.78,25.61,11.99,12.41,13.29,1677.64398,44.15094339622642,28.423973362930077,-15.72697003329634,-12.980000000000006,0.3442667025137787,0.39711583191192434
Russia,2008,Europe,7313.38,3816.9,14.69,46.85,7.26,6.14,3.36,13.93,6239.044478,54.91736021568398,8.510139491267143,-46.40722072441683,7.770000000000003,0.07828337287039035,0.09301729660474055
Japan,2006,Asia,4875.44,979.92,39.0,39.1,28.82,10.82,9.5,18.08,2974.0183999999995,64.09836065573771,47.24590163934426,-16.852459016393446,-45.32,0.4048890137679123,0.8955873213175884
United States,2013,North America,3506.39,2714.14,16.6,38.42,5.91,17.05,8.03,13.65,2924.32926,46.06714628297362,7.086330935251799,-38.980815347721816,0.34000000000000696,0.06281220108406844,0.07626790553619822
South Africa,2019,Africa,3965.04,619.14,21.87,22.0,28.54,18.53,3.54,10.18,3097.885752,28.15819787533598,36.52886215282222,8.370664277486242,-4.660000000000005,0.3993842709207948,0.5755192579149023
Japan,2018,Asia,7604.63,918.62,11.86,35.55,29.84,8.05,14.75,17.05,6702.720882,40.33356024506467,33.85523031540731,-6.478329929657356,-17.099999999999998,0.42531356898517675,0.511835334476844
Japan,2014,Asia,1650.14,3019.69,26.38,24.51,21.35,6.0,4.79,13.1,1214.833068,33.292583537082315,29.00027166530834,-4.292311871773975,3.869999999999999,0.27145581691036236,0.40845609336139277
United States,2015,North America,4896.72,1275.92,14.82,42.12,29.43,18.16,2.87,6.19,4171.0260960000005,49.44822728339985,34.55036393519605,-14.8978633482038,-13.589999999999991,0.4170327334561429,0.5278923766816144
Russia,2020,Europe,4294.17,4145.77,12.24,35.37,17.09,10.84,9.73,13.49,3768.563592,40.30309936189608,19.47356426618049,-20.829535095715592,1.2400000000000109,0.20612712579905923,0.2418282156502051
Brazil,2004,South America,5085.91,4950.47,23.08,40.41,7.79,13.13,11.61,18.62,3912.081972,52.535101404056164,10.127405096203848,-42.40769630785232,-14.639999999999995,0.08448107580522721,0.11268624330970635
China,2002,Asia,635.83,5683.87,5.19,21.25,13.11,19.52,2.42,10.94,602.830423,22.413247547727032,13.827655310621243,-8.58559223710579,27.570000000000007,0.15088042352399586,0.16046511627906976
Australia,2011,Oceania,7040.93,1720.99,5.27,22.54,17.81,6.0,10.56,9.44,6669.872989,23.793940673493083,18.800802280164678,-4.993138393328405,28.379999999999995,0.21669302834894755,0.23153926157046278
China,2019,Asia,7490.89,1505.39,12.67,41.49,2.19,14.72,8.92,7.15,6541.794237,47.50944692545517,2.507729302645139,-45.001717622810034,12.859999999999998,0.022390348635108883,0.025722339675828047
France,2020,Europe,4738.5,1090.15,6.29,22.16,18.67,6.11,3.34,7.27,4440.448350000001,23.647422900437522,19.92316721801302,-3.724255682424502,36.16,0.22955858846674046,0.24880063965884863
Mexico,2003,North America,5724.88,4600.44,8.78,22.14,29.44,10.63,4.24,11.49,5222.235536,24.270993203244903,32.273624205218155,8.002631001973253,13.279999999999996,0.41723356009070295,0.47652962123664616
Australia,2020,Oceania,7418.75,5062.74,16.86,20.36,5.7,17.06,9.38,13.94,6167.9487500000005,24.488814048592733,6.855905701226847,-17.632908347365884,16.699999999999996,0.06044538706256628,0.07360537190082646
France,2022,Europe,5804.29,608.47,33.09,48.7,23.78,11.5,5.85,6.21,3883.650439,72.78433716933195,35.54027798535346,-37.244059183978486,-29.13000000000001,0.3119916032537392,0.5513563644794808
South Africa,2015,Africa,1644.04,6579.0,25.02,42.13,27.24,19.96,14.2,19.09,1232.701192,56.188316884502534,36.3296879167778,-19.858628967724734,-47.64,0.37438152831225946,0.5705906996229575
Mexico,2006,North America,4822.16,743.01,22.94,30.6,28.31,13.39,12.64,16.33,3715.956496,39.7093174150013,36.737607059434204,-2.9717103555670974,-24.209999999999997,0.39489468545124845,0.5807179487179487
Germany,2012,Europe,5050.36,3972.56,15.27,28.9,28.8,9.82,14.79,13.8,4279.170028,34.10834415201227,33.99032219992918,-0.1180219520830903,-11.379999999999995,0.4044943820224719,0.5149293760057213
United States,2020,North America,3680.98,5079.8,37.61,30.49,15.64,8.3,5.38,17.43,2296.563422,48.87001121974675,25.068119891008173,-23.801891328738577,-14.849999999999998,0.1853959222380275,0.3345454545454545
Australia,2009,Oceania,6023.33,6148.4,18.9,43.24,29.32,10.26,14.61,6.2,4884.9206300000005,53.316892725030826,36.152897657213316,-17.16399506781751,-22.530000000000005,0.41482739105829086,0.5662417921977598
Australia,2006,Oceania,7507.75,5112.97,8.05,39.84,22.72,10.59,7.61,12.15,6903.376125,43.3278955954323,24.709081022294725,-18.618814573137577,-0.9599999999999991,0.2939958592132505,0.3281814242380471
South Africa,2013,Africa,7441.76,5691.41,26.6,25.56,4.85,6.03,6.52,14.45,5462.25184,34.822888283378745,6.607629427792914,-28.21525885558583,15.990000000000002,0.05097214923804518,0.07075127644055433
Brazil,2004,South America,3881.3,2640.37,8.98,25.22,14.31,10.54,2.65,17.43,3532.7592600000003,27.708196000878928,15.721819380355967,-11.986376620522961,20.869999999999997,0.16699731590617342,0.1865467344544388
